Material Number,Old Material Number,   ,UOM,Qty (Unrestricted),Image Link,Image Count,Has Image?
SM-MISLMECH-002721,"SM016-6751A,SN106.041","RING NUT (03101573)TAV 0001,POS17 ASP210",EA,1,,,No
SM-MISLMECH-002790,"SM016-6749A,SN106.028","SCREW ( 06020049 ) FIG 07 , TABLE 1000",EA,5,,,No
SM-MISLMECH-002807,"SM016-5304A,SN106.023",SCREW (ASP11002103 ),EA,8,,,No
SM-MISLMECH-002970,"SM016-6641A,SN106.040","SPACER (03101571)TAV 0001,POS 16 ASP210",EA,1,,,No
SM-MISLMECH-002971,"SM016-3371A,SN106.030","SPACER (ASP21002067) FIG 10, TABLE 1000",EA,5,,,No
SM-MISLMECH-003018,"SM016-3096F,SN106.021",PLATE,EA,1,,,No
SM-MISLMECH-003194,"SM016-3369A,SN106.022",SUPPORT(11002097),EA,2,,,No
SM-MISLMECH-005719,SM004-3388A,WASHER ( 1315113 ),EA,8,,,No
SM-PINRODS-000216,"SM014-3044A,SN106.018",PIN ( ASP11001034 ),EA,12,,,No
SM-GASKETS-000063,"SM004-3420A,SN109.017",GASKET ( 5008040 ),EA,1,,,No
SM-GASKETS-000065,"SM004-3421A,SN109.018",GASKET ( 5008167 ),EA,2,,,No
SM-GASKETS-000084,"SM004-3422A,SN109.024",GASKET ( SB10001014 ),EA,2,,,No
SM-GASKETS-000085,"SM004-3419A,SN109.016",GASKET ( SB1070 ),EA,2,,,No
SM-GASKETS-000121,"SM004-3410A,SN109.005",EXTERNAL GASKET ( SB 1030 ),EA,4,,,No
SM-GASKETS-000169,"SM004-3409A,SN109.002",GASKET ( SPB 120.02.003 )  1/26,EA,4,,,No
SM-GASKETS-000219,"SM004-3413A,SN109.008",LOWER NET GASKET,EA,1,,,No
SM-GASKETS-000220,"SM004-3414A,SN109.009",LOWER NET GASKET ( SB1020A )  1/13,EA,3,,,No
SM-GASKETS-000245,"SM004-3340D,SN109.001",GASKET,EA,11,,,No
SM-MISLMECH-000014,"SM016-3389A,SN109.027",CONNECTION,EA,2,,,No
SM-MISLMECH-000176,"SM016-3387A,SN109.021",ANTIVIBRATOR ( 6.351.023 ),EA,4,,,No
SM-MISLMECH-000264,"SM016-6750A,SN109.035",AUTO LOCK SCREW ( 6.068.618 ),EA,6,,,No
SM-MISLMECH-000389,"SM016-3386A,SN109.019",COVER ( 5.755.131 ) PAGE - 01 POS - 39,EA,2,,,No
SM-MISLMECH-000530,"SM016-3399A,SN109.047",FLANGE ( SB1032 ),EA,2,,,No
SM-MISLMECH-000960,"SM016-3394A,SN109.039","PAD ( SB1..058 ) POS 20 , ITEM 13",EA,2,,,No
SM-MISLMECH-001468,"SM004-3412A,SN109.007",SEAL RING (SB 1.039) PAGE-01 POS-02,EA,2,,,No
SM-MISLMECH-001924,"SM016-3383A,SN109.003",NUT,EA,4,,,No
SM-MISLMECH-001927,"SM016-3383B,SN109.033",NUT,EA,1,,,No
SM-MISLMECH-001987,"SM016-3412A,SN109.063",FLANGE ( SB100.02.011 ) POS 35,EA,2,,,No
SM-MISLMECH-002183,"SM016-3396A,SN109.043",IRON DEFERIZZATORE ( 06410085 ),EA,1,,,No
SM-MISLMECH-003409,"SM016-3007C,SN109.030",SPACER,EA,1,,,No
SM-MISLMECH-005695,SM004-3295D,WASHER,EA,2,,,No
SM-MOTORS -000012,"SM016-3240B,SN109.038",IMPELLER,EA,4,,,No
SM-ORING-000164,"SM004-3424A,SN109.031",RING NUT,EA,1,,,No
SM-PINRODS-000159,"SM014-3047A,SN109.036",TIE ROD-(SB 1116),EA,3,,,No
SM-SHAFT-000113,"SM013-3085A,SN109.048",SHAFT ( SB1074 ),EA,1,,,No
SM-GASKETS-000061,"SM004-3432A,SN109.310",GASKET ( 15274147 ),EA,1,,,No
SM-GASKETS-000083,"SM004-3411A,SN109.006",GASKET ( SB 10001012 ),EA,2,,,No
SM-MISLMECH-001523,SM016-9158A,"CONE ( 80060053 ) TAB B , RELEASE 02",EA,1,,,No
SM-MISLMECH-001913,"SM016-6844A,SN109.324",DIFFUSER ( 40080001 ),EA,1,,,No
SM-MISLMECH-006528,SM016-9161A,THREADED BAR ( 33044080 )TAB B VLB 1200,EA,2,,,No
SM-PINRODS-000109,SM014-3589A,"PIN ( TAB A , POS 12 )  CUCOLONI",EA,4,,,No
SM-WHEELS-000248,SM016-9098A,PLASTIC HAND WHEEL ( I69045XA ) POS 06,EA,4,,,No
SM-MISLMECH-000157,SM021-4012A,"AMG-WATER SEPERATOR WITH BRACKET, 1''",EA,1,,,No
SM-MISLMECH-000375,"SM016-3979A,SN720.500",CONNECTOR ( 9620700006 ) TAV.17,EA,2,,,No
SM-MISLMECH-000510,SM021-3232A,"FITTING ( PM317-0026 ) TAV 3.0 , POS 3",EA,2,,,No
SM-MISLMECH-000536,"SM016-5670A,SN620.146",FLUX REGULATOR( 6724020020 )PAGE04 5/5,EA,1,,,No
SM-MISLMECH-000537,"SM016-5655A,SN620.104","FLUX REGULATOR(6724ST0020)PAGE 16,POS11",EA,1,,,No
SM-MISLMECH-001268,"SM016-5752A,SN700.059.2",REGULATER ( 20260024 ),EA,1,,,No
SM-MISLMECH-001269,"SM016-5771A,SN700.100.2","REGULATER RFU 446 1/4"" ( 2.026.0006 )",EA,1,,,No
SM-MISLMECH-001272,"SM016-5796A,SN700.142.2",REGULATOR ( 2.026.0026 ) SL50HOT,EA,4,,,No
SM-MISLMECH-001273,"SM016-4326A,SN323.005.2",REGULATOR ( 5550262 ),EA,9,,,No
SM-MISLMECH-001704,"SM016-5903A,SN700.445","STREAM REGULATOR (5550216) TAV-02,RIF-42",EA,1,,,No
SM-MISLMECH-001998,SM016-6982A,FLOW CONTROLLER ( esc 08 01 ),EA,5,,,No
SM-MISLMECH-001999,SM016-6337A,FLOW CONTROLLERS ( esc 08 03 ),EA,2,,,No
SM-MISLMECH-002000,SM016-6339A,FLOW CONTROLLERS ( esc 08 04 ),EA,11,,,No
SM-MISLMECH-002682,"SM016-5081A,SN601.019.2",REGULATER ( 6724020020 ),EA,1,,,No
SM-MISLMECH-003114,"SM016-5884A,SN700.407","STREAM REGULATOR (5550216) TAV-2, RIF-42",EA,2,,,No
SM-MISLMECH-003287,"SM010-3366A,SN700.634","VENTURI TUBE ( 5600080 )TAV 09 , POS 08",EA,9,,,No
SM-MISLMECH-003303,SM021-4011A,WATER SEPERATOR WITH A/D-1/2'',EA,5,,,No
SM-MISLMECH-003330,"SM016-5767A,SN700.096.2",CONNECTION KQT 08-03S ( 20250138 ),EA,1,,,No
SM-MISLMECH-005832,SM010-3371A,FLOW REGULATOR ( 9620700006 ) TAV.16,EA,2,,,No
SM-MISLMECH-007977,,FLOW CONTROL( 6724020010 ) 400/1,EA,4,,,No
SM-MISLMECH-007978,,SCREW ( 6738CA0334 ) 400/1,EA,4,,,No
SM-PNEUMATIC-000084,SM021-3020A,"REGULATOR ( 02.02.030 ) TAV 3 , POS 42",EA,1,,,No
SM-PNEUMATIC-000455,,Union ( 9620700025 ) PLT 700/6,EA,3,,,No
SM-PNEUMATIC-000475,,PNEUMATIC FLOW CONTROLLER M5X6MM  700/5,EA,2,,,No
SM-PNEUMATIC-000480,,UNION ( C9620700007 ) 700/6 BS08,EA,1,,,No
SM-PNEUMATIC-000498,SM016-4053A,REGULATOR ( 05550121 ),EA,2,,,No
SM-PNEUMATIC-000563,,FLOW CONTROLER 12MM 1/2''   MOSAIC,EA,5,,,No
SM-SHAFT-000160,"SM010-3370A,SN707.003",PUMP FOR VACUUM ( 20240058 ),EA,1,,,No
SM-FILTERS-000029,SM002-3183A,FILTER ( 05671052 ),EA,4,,,No
SM-FILTERS-000086,"SM002-3074A,SN416.025",REDUCER FILTER ( U211269002 ),EA,2,,,No
SM-FILTERS-000105,"SM002-3101A,SN603.014.2",FILTER REDUCTION UNIT ( 6724SM1010 ),EA,2,,,No
SM-FILTERS-000129,"SM002-3038A,SN101.050",FILTER,EA,1,,,No
SM-MISLMECH-000842,"SM016-3229A,SN101.049",LUBRICATOR,EA,1,,,No
SM-MISLMECH-000847,SM021-3518A,"LUBRICATOR( 05750027 )TAV 3425.004 , P 6",EA,4,,,No
SM-MISLMECH-001257,"SM016-4837A,SN417.013.2",REDUCTION UNIT 3/8'' ( 1902010004 ),EA,1,,,No
SM-MISLMECH-001893,"SM004-3247A,SC226.016",WATER SEAL 15 MM,EA,2,,,No
SM-MISLMECH-003342,SM021-4431A,MECHANICAL SEAL 24MM,EA,1,,,No
SM-MISLMECH-005179,"SM010-3063A,SC226.",WATER SEAL FOR PUMP MODEL M140/3,EA,1,,,No
SM-MISLMECH-005180,"SM010-3064A,SC226.",WATER SEAL FOR DM300/3 Pump- 40mm,EA,5,,,No
SM-MISLMECH-005348,"SM016-6259A,SN810.043",AIR PRESSURE METER ( JC-00026A ),EA,1,,,No
SM-MISLMECH-006665,,PRECISION REGULATOR 1/4'(IR2000-F02BG-A),EA,1,,,No
SM-OILSEAL-000466,"SM004-3246A,SC226.014",WATER SEAL 30MM,EA,5,,,No
SM-OILSEAL-000467,"SM004-3248A,SC226.017",WATER SEAL 25MM,EA,5,,,No
SM-OILSEAL-000468,"SM004-3249A,SC226.021",WATER SEAL 20MM,EA,1,,,No
SM-PNEUMATIC-000458,,FILTER ELEMENT AF20P-060S,EA,2,,,No
SM-PNEUMATIC-000484,,FRL UNIT ( N10.526.08.1 ),EA,1,,,No
SM-PNEUMATIC-000491,,UNIT ( 05752122 ) DCL175 300/6,EA,1,,,No
SM-PUMPS-000048,SM016-9900A,M400 PUMP CASING,EA,1,,,No
SM-VALVES-000039,SM011-3387A,PRESSURE CONTROL ( 05671073 ),EA,1,,,No
SM-BUSHINGS-000338,,SEEGER FOR SHAFT ( 2914020220 ),EA,8,,,No
SM-CIRCLIPS-000001,"SM003-3030A,SC222.142",CIR CLIP 30MM ( OUTSIDE ),EA,26,,,No
SM-CIRCLIPS-000003,"SM004-4198A,SN720.128",CIRCLIP ( 9343101200 ) TAV.23,EA,19,,,No
SM-CIRCLIPS-000008,"SM003-3080A,SN700.883","CIRCLIP ( SA6002021 ) TAV 04 , POS - A",EA,40,,,No
SM-CIRCLIPS-000011,"SM003-3053A,SC222.168",CIRCLIP 11MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000012,"SM003-3023A,SC222.135",CIRCLIP 12MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000014,"SM003-3022A,SC222.134",CIRCLIP 14MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000016,"SM003-3086A,SC222.171",CIRCLIP 16MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000018,"SM003-3035A,SC222.147",CIRCLIP 18 MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000020,"SM003-3087A,SC222.172",CIRCLIP 18MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000022,"SM003-3027A,SC222.139",CIRCLIP 20MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000023,SM003-3109A,"CIRCLIP 212MM - OUT SIDE ,TH= 5MM,H=12MM",EA,1,,,No
SM-CIRCLIPS-000025,"SM003-3051A,SC222.166",CIRCLIP 24MM ( OUTSIDE ),EA,6,,,No
SM-CIRCLIPS-000026,"SM003-3011A,SC222.115",CIRCLIP 25 MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000027,"SM003-3013A,SC222.118",CIRCLIP 27MM ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000028,"SM003-3040A,SC222.153",CIRCLIP 28MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000029,"SM003-3024A,SC222.136",CIRCLIP 32MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000031,"SM003-3015A,SC222.122",CIRCLIP 41MM ( INSIDE ),EA,5,,,No
SM-CIRCLIPS-000032,"SM003-3050A,SC222.165",CIRCLIP 42MM ( INSIDE ),EA,9,,,No
SM-CIRCLIPS-000034,"SM003-3016A,SC222.127",CIRCLIP 49MM,EA,5,,,No
SM-CIRCLIPS-000036,"SM003-3020A,SC222.132",CIRCLIP 52MM ( INSIDE ),EA,2,,,No
SM-CIRCLIPS-000039,"SM003-3042A,SC222.156",CIRCLIP 60MM ( OUTSIDE ),EA,201,,,No
SM-CIRCLIPS-000041,"SM003-3034A,SC222.146",CIRCLIP 6MM ( OUTSIDE ),EA,6,,,No
SM-CIRCLIPS-000042,"SM003-3043A,SC222.157",CIRCLIP 73MM ( OUTSIDE ),EA,2,,,No
SM-CIRCLIPS-000043,"SM003-3026A,SC222.138",CIRCLIP 7MM,EA,2,,,No
SM-CIRCLIPS-000044,"SM003-3044A,SC222.159",CIRCLIP 8MM ( OUTSIDE ),EA,25,,,No
SM-CIRCLIPS-000049,"SM003-3036A,SC222.148",CIRCLIP 9mm ( OUTSIDE ),EA,1,,,No
SM-CIRCLIPS-000050,"SM003-3082A,SN700.885",CIRCLIP OUTSIDE ( SA6003010 ) TAV 04,EA,1,,,No
SM-CIRCLIPS-000055,"SM003-3001B,SN101.069",CIR CLIP,EA,3,,,No
SM-CIRCLIPS-000056,"SM003-3069A,SN601.187",CIRCLIP ( 2914041010 ),EA,5,,,No
SM-CIRCLIPS-000058,"SM016-6182A,SN720.065","CIRCLIP ( 9343100900 ) TAV 36 , POS 19",EA,1,,,No
SM-CIRCLIPS-000063,"SM003-3068A,SN511.025",RETAINING RING(675019330) INSIDE CIRCLIP,EA,1,,,No
SM-CIRCLIPS-000068,"SM003-3048A,SC222.163",CIRCLIP 40MM ( OUTSIDE ),EA,8,,,No
SM-CIRCLIPS-000124,,RING ( CC06100001 ) 600/5,EA,52,,,No
SM-CIRCLIPS-000125,,CIRCLIP ( 2914020090 )   600/3,EA,8,,,No
SM-CIRCLIPS-000129,,SNAP RING ( 06002056 ) DCL175 300/6,EA,6,,,No
SM-CIRCLIPS-000130,,SNAP RING ( 06002071 ) DCL175 300/6,EA,4,,,No
SM-MISLMECH-000309,"SM016-6193A,SN720.096",CIR CLIP ( 9343102500 ) TAV.17,EA,2,,,No
SM-MISLMECH-002849,"SM016-6178A,SN720.055","SEEGER ( 9343100600 ) TAV 36 , POS 07",EA,2,,,No
SM-MISLMECH-002850,"LSM016-4819A,WSM003-3095A",SEEGER(9343101400)TAV.15  STACKER GROUP,EA,5,,,No
SM-MISLMECH-005750,SM004-3930A,WASHER ( 9212703002 ),EA,3,,,No
SM-ORING-000059,"SM004-3876A,SN365.034","RING ( 06003018 ) POS-09 , TAB -3797.B",EA,2,,,No
SM-ORING-000060,"SM004-3856A,SN340.117",RING ( 06003018 ) TAB:6175.A - FIG:5,EA,1,,,No
SM-ORING-000079,"SM004-3033A,SC222.129",RING 40MM,EA,3,,,No
SM-ORING-000173,"SM004-4025A,SN601.406","STOP RING ( 2914041010 ) PAGE08 1/2,POS",EA,40,,,No
SM-CIRCLIPS-000005,SM003-3104A,CIRCLIP ( 9343202600 ),EA,9,,,No
SM-CIRCLIPS-000007,SM003-3108A,CIRCLIP ( C9343201800 ),EA,2,,,No
SM-CIRCLIPS-000009,"SM003-3019A,SC222.131",CIRCLIP 10MM ( OUTSIDE ),EA,32,,,No
SM-CIRCLIPS-000010,"SM003-3091A,SC222.175",CIRCLIP 11MM ( INSIDE ),EA,70,,,No
SM-CIRCLIPS-000015,"SM003-3037A,SC222.149",CIRCLIP 16MM ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000017,"SM003-3054A,SC222.169",CIRCLIP 17MM ( INSIDE ),EA,5,,,No
SM-CIRCLIPS-000019,"SM003-3088A,SC222.173",CIRCLIP 18MM ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000021,"SM003-3089A,SC222.174",CIRCLIP 20MM  ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000024,"SM003-3079A,SN610.071",CIRCLIP 24MM ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000030,"SM003-3064A,SN400.025.2",CIRCLIP 34MM (INSIDE),EA,2,,,No
SM-CIRCLIPS-000037,"SM003-3032A,SC222.144",CIRCLIP 55MM ( INSIDE ),EA,2,,,No
SM-CIRCLIPS-000038,"SM003-3039A,SC222.152",CIRCLIP 56MM ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000040,"SM003-3031A,SC222.143",CIRCLIP 65MM ( INSIDE ),EA,1,,,No
SM-CIRCLIPS-000045,"SM003-3029A,SC222.141",CIRCLIP 90MM ( INSIDE ),EA,6,,,No
SM-CIRCLIPS-000046,"SM003-3012A,SC222.116",CIRCLIP 92MM ( INSIDE ),EA,3,,,No
SM-CIRCLIPS-000047,"SM003-3046A,SC222.161",CIRCLIP 93MM ( INSIDE ),EA,7,,,No
SM-CIRCLIPS-000048,"SM003-3010A,SC222.111",CIRCLIP 95MM ( IN SIDE ),EA,3,,,No
SM-CIRCLIPS-000051,"SM016-6673A,SN720.276",CIRCLIP( 9343203000 ) TAV.8,EA,169,,,No
SM-CIRCLIPS-000054,"SM004-3462A,SN112.019",RING ( 06002025 ) CIRCLIP,EA,4,,,No
SM-CIRCLIPS-000060,SM003-3110A,SPECIAL CIRCLIP 178MM ( OUS SIDE ),EA,1,,,No
SM-CIRCLIPS-000062,"SM003-3081A,SN700.884",INSIDE CIRCLIP ( SA6002021 )  TAV - 04,EA,35,,,No
SM-CIRCLIPS-000086,SM003-6018A,CIRCLIP 27MM ( INSIDE ),EA,25,,,No
SM-CIRCLIPS-000122,,CIRCLIP 37MM ( INSIDE ),EA,10,,,No
SM-CIRCLIPS-000131,,SNAP RING ( 06003034 ) DCL175 300/6,EA,4,,,No
SM-CIRCLIPS-000132,,SNAP RING ( 06003039 ) DCL175 300/6,EA,4,,,No
SM-CIRCLIPS-000139,"SM003-3025A,SC222.",CIRCLIP 15MM  INSIDE,EA,2,,,No
SM-MISLMECH-001485,SM016-7899A,SEEGER ( 9343203500 ) TAV 04,EA,2,,,No
SM-MISLMECH-001681,"SM016-3167A,SN707.280",SPRING RING 124 ( 3654.24 )  OMS TR200,EA,2,,,No
SM-MISLMECH-005678,SM003-3049A,CIRCLIP 32MM ( INSIDE ),EA,3,,,No
SM-MISLMECH-005744,SM004-3875A,RING ( 06004940 ),EA,1,,,No
SM-ORING-000131,"SM004-3451A,SN111.310",RING ( 06002507 )   CIR CLIP,EA,2,,,No
SM-ORING-000146,"SM004-4459A,SN106.046","RING (06002079) TAV 0001,POS 25  ASP210",EA,1,,,No
SM-ORING-000166,"SM004-3032A,SC222.126",SEEGER RING 68MM,EA,3,,,No
